index,id,item,parent
PR-01-01,JnIA6vg,Honesty and integrity,JnGUEbM
PR-01-02,JnIA6vk,Reflection,JnGUEbM
PR-02-01,JnIA6vs,Compassion,JnGUEbQ
PR-02-02,JnIA6vw,Understanding self and others,JnGUEbQ
PR-02-03,JnIA6v4,Dignity and courtesy,JnGUEbQ
PR-03-01,JnIA6wE,Self-cultivation,JnGUEbg
PR-04-01,JnIA6wI,Medical ethics,JnGUEbk
GE-01-01,JnICKV8,Transdisciplinary care,JnGUR4c
GE-01-02,JnICKWA,"Comprehensive perspectives on biological, psychological, and social issues",JnGUR4c
GE-01-03,JnICKWI,Patient-centered medicine,JnGUR4c
GE-01-04,JnICKWM,Evidence-based medicine (EBM),JnGUR4c
GE-01-05,JnICKWU,Behavioral science,JnGUR4c
GE-01-06,JnICKWY,Palliative care,JnGUR4c
GE-02-01,JnICKWg,Basic concepts in primary care,JnGUR4k
GE-02-02,JnICKWk,Primary care in the community,JnGUR4k
GE-02-03,JnICKWo,Provision of primary care according to medical resources,JnGUR4k
GE-02-04,JnICKWs,Primary care at home,JnGUR4k
GE-03-01,JnICKW0,Life processes,JnGUR4s
GE-03-02,JnICKW4,Childhood in general,JnGUR4s
GE-03-03,JnICKXA,"Fetal, neonatal, and infant stages",JnGUR4s
GE-03-04,JnICKXE,"School-age, adolescence, young adulthood, and adulthood",JnGUR4s
GE-03-05,JnICKXM,Geriatric stage,JnGUR4s
GE-03-06,JnICKXQ,End of life,JnGUR4s
GE-04-01,JnICKXY,"Health in medical, cultural, and social contexts",JnGUR4w
GE-04-02,JnICKXc,Social sciences,JnGUR4w
LL-01-01,JnIBYXQ,Lifelong learning in practice,JnGUHWw
LL-01-02,JnIBYXY,Career development,JnGUHWw
LL-02-01,JnIBYXM,Medical education in practice,JnGUHW0
RE-01-01,JnIAX18,Proactive attitude,JnGT6dY
RE-01-02,JnIAX2I,Inquisitiveness,JnGT6dY
RE-02-01,JnIAX2M,Medicine and healthcare,JnGT6dc
RE-02-02,JnIAX2U,Reading and understanding academic papers,JnGT6dc
RE-03-01,JnIAX2Y,Research questions,JnGT6dk
RE-03-02,JnIAX2g,Research plan,JnGT6dk
