index,id,item
TBL-04-00-001,JlAK3G0,Internal medicine
TBL-04-00-002,JlAK3G4,Surgery
TBL-04-00-003,JlAK3G8,Pediatrics
TBL-04-00-004,JlAK3HA,Obstetrics and gynecology
TBL-04-00-005,JlAK3HE,Psychiatry
TBL-04-00-006,JlAK3Gs,General medicine
TBL-04-00-007,JlAK3Gw,Emergency medicine
TBL-04-00-008,JlAK3HI,Dermatology
TBL-04-00-009,JlAK3HM,Orthopedic surgery
TBL-04-00-010,JlAK3HQ,Ophthalmology
TBL-04-00-011,JlAK3HU,Otorhinolaryngology
TBL-04-00-012,JlAK3HY,Urology
TBL-04-00-013,JlAK3Hc,Neurosurgery
TBL-04-00-014,JlAK3Hg,Radiology
TBL-04-00-015,JlAK3Hk,Anesthesiology
TBL-04-00-016,JlAK3Ho,Pathology
TBL-04-00-017,JlAK3Hs,Biochemistry
TBL-04-00-018,JlAK3Hw,Plastic surgery
TBL-04-00-019,JlAK3H0,Rehabilitation
