index,id,category,item
TBL-02-09-001,JlAKpnw,Structure and function,Gonadal development and processes of sex differentiation
TBL-02-09-002,JlAKpn0,Structure and function,Process of male reproductive organ development
TBL-02-09-003,JlAKpn4,Structure and function,Morphology and function of male reproductive organs
TBL-02-09-004,JlAKpn8,Structure and function,Tissue structure of testis and process of spermatogenesis
TBL-02-09-005,JlAKpoA,Structure and function,Tissue structure of the penis and mechanisms of erection and ejaculation
TBL-02-09-006,JlAKpoE,Structure and function,Processes of female reproductive organ development
TBL-02-09-007,JlAKpoI,Structure and function,Morphology and function of female reproductive organs
TBL-02-09-008,JlAKpoM,Structure and function,Onset of menstrual cycle and mechanisms of ovulation
TBL-02-09-009,JlAKpoQ,Structure and function,Processes of menopause and changes in disease risk factors
TBL-02-09-010,JlAKpoU,Symptoms,Abdominal pain
TBL-02-09-011,JlAKpoY,Symptoms,Abdominal distention and abdominal mass
TBL-02-09-012,JlAKpok,Symptoms,Menstrual disorders
TBL-02-09-013,JlAKpos,Symptoms,Erectile dysfunction
TBL-02-09-014,JlAKpow,Symptoms,Ejaculation disorders
TBL-02-09-015,JlAKpo0,Symptoms,Testicular dysfunction
TBL-02-09-016,JlAKpo4,Symptoms,Abnormal vaginal bleeding
TBL-02-09-017,JlAKpo8,Symptoms,Galactorrhea
TBL-02-09-018,JlAKppA,Symptoms,Abnormal vaginal discharge
TBL-02-09-019,JlAKppE,Symptoms,Vaginal dryness
TBL-02-09-020,JlAKppI,Symptoms,Dyspareunia
TBL-02-09-021,JlAKppQ,Methods of examination,"Diagnostic imaging of testes and prostate (urography, CT, and MRI), and ultrasound"
TBL-02-09-022,JlAKppU,Methods of examination,"Measurement of hormones in the blood (follicle stimulating hormone (FSH), luteinizing hormone (LH), prolactin, human chorionic gonadotropin (hCG), estrogen, and progesterone)"
TBL-02-09-023,JlAKppY,Methods of examination,"Imaging tests of pelvic organs and tumors (ultrasound, CT, MRI, and hysterosalpingography (HSG ))"
TBL-02-09-024,JlAKppc,Methods of examination,Measurement of basal body temperature
TBL-02-09-025,JlAKppg,Methods of examination,Examination of vaginal discharge
TBL-02-09-026,JlAKppk,Specific therapies,In vitro fertilization-embryo transfer (IVF-ET)
