index,id,category,item
TBL-02-18-001,JlAKp18,Symptoms,Fever/high body temperature
TBL-02-18-002,JlAKp2M,Symptoms,General malaise
TBL-02-18-003,JlAKp2E,Symptoms,Altered mental status
TBL-02-18-004,JlAKp2A,Symptoms,Seizure
TBL-02-18-005,JlAKp2c,Symptoms,Edema
TBL-02-18-006,JlAKp2U,Symptoms,Rash
TBL-02-18-007,JlAKp2s,Symptoms,Cough and sputum
TBL-02-18-008,JlAKp2w,Symptoms,Blood in sputum and hemoptysis
TBL-02-18-009,JlAKp2o,Symptoms,Dyspnea
TBL-02-18-010,JlAKp2k,Symptoms,Chest pain
TBL-02-18-011,JlAKp24,Symptoms,Abdominal pain
TBL-02-18-012,JlAKp28,Symptoms,Nausea and vomiting
TBL-02-18-013,JlAKp3E,Symptoms,Hematemesis
TBL-02-18-014,JpeJNWo,Symptoms,Melena
TBL-02-18-015,JlAKp3A,Symptoms,Constipation
TBL-02-18-016,JpeJNWw,Symptoms,Diarrhea
TBL-02-18-017,JlAKp2Q,Symptoms,Jaundice
TBL-02-18-018,JlAKp2Y,Symptoms,Lymphadenopathy
TBL-02-18-019,JlAKp3I,Symptoms,Hematuria
TBL-02-18-020,JlAKp20,Symptoms,Headache and dull headache
TBL-02-18-021,JlAKp3Q,Symptoms,Back pain
TBL-02-18-022,JlAKp3M,Symptoms,Arthralgia and joint swelling
TBL-02-18-023,JlAKp3U,Symptoms,Sore throat
TBL-02-18-024,JlAKp2g,Symptoms,Pleural fluid
TBL-02-18-025,JvVZg-A,Symptoms,Melena
TBL-02-18-026,JmnSckQ,Symptoms,Proteinuria
TBL-02-18-027,JlAKp2I,Symptoms,Dehydration
TBL-02-18-028,JlAKp14,Symptoms,Shock
