index,id,category,item
TBL-02-03-001,JlAKpaM,Structure and function,Tissue structure of skin
TBL-02-03-002,JlAKpaQ,Structure and function,"Cellular dynamics of the skin, and mechanisms of keratinization"
TBL-02-03-003,JlAKpaU,Structure and function,Protective immunity of the skin
TBL-02-03-004,JlAKpaY,Symptoms,"Skin rash (erythema, purpura, pigmented macules, papule, nodule, mass, blister, pustule, cysts, erosions, ulcers, telangiectasia, sclerosis, scarring, atrophy, scaling, crusting, lichenification, gangrene)"
TBL-02-03-005,JlAKpac,Symptoms,Pruritus
TBL-02-03-006,JlAKpag,Symptoms,Mucocutaneous eruption
TBL-02-03-007,JlAKpak,Symptoms,Alopecia
TBL-02-03-008,JlAKpao,Methods of examination,"Skin testing (diascopy, dermographia (Darier’s sign), Nikolsky’s sign, Tzanck test, photosensitivity testing)"
TBL-02-03-009,JlAKpas,Methods of examination,"Allergy skin testing (skin prick test, skin injection test, patch test)"
TBL-02-03-010,JlAKpaw,Methods of examination,"Microbiological testing (specimen collection method, skin lesion potassium hydroxide (KOH) exam)"
TBL-02-03-011,JlAKpa0,Methods of examination,Dermoscopy
TBL-02-03-012,JlAKpa4,Specific therapies,Topical dermatological therapy
TBL-02-03-013,JlAKpa8,Specific therapies,Cryotherapy
TBL-02-03-014,JlAKpbA,Specific therapies,Phototherapy (PUVA)
