index,id,category,item
TBL-02-07-001,JlAKpjQ,Structure and function,Location and morphology of each digestive organ and related blood vessels
TBL-02-07-002,JlAKpjU,Structure and function,Relationship between peritoneum and organs
TBL-02-07-003,JlAKpjY,Structure and function,"Basic structure of the esophagus, stomach, small intestine, and large intestine"
TBL-02-07-004,JlAKpjc,Structure and function,Mechanism of gastrointestinal motility
TBL-02-07-005,JlAKpjg,Structure and function,Action of the autonomic nervous system on the digestive organs
TBL-02-07-006,JlAKpjk,Structure and function,Structure and function of the liver
TBL-02-07-007,JlAKpjo,Structure and function,Action and secretory mechanism of gastric juice
TBL-02-07-008,JlAKpjs,Structure and function,Action of bile and regulatory mechanisms of gallbladder contraction
TBL-02-07-009,JlAKpjw,Structure and function,Pancreatic exocrine system and action of pancreatic juice
TBL-02-07-010,JlAKpj0,Structure and function,Mechanism of digestion and absorption in the small intestine
TBL-02-07-011,JlAKpj4,Structure and function,Mechanism of fecal formation and defecation in the large intestine
TBL-02-07-012,JlAKpj8,Structure and function,Actions of main gastrointestinal hormones
TBL-02-07-013,JlAKpkA,Structure and function,"Structure and function of the teeth, tongue, and salivary glands"
TBL-02-07-014,JlAKpkE,Structure and function,Mechanisms of chewing and swallowing
TBL-02-07-015,JlAKpkI,Structure and function,Roles of normal bacterial flora of the digestive tract (intestinal bacterial flora)
TBL-02-07-016,JlAKpkU,Symptoms,Anorexia
TBL-02-07-017,JlAKpkM,Symptoms,Abdominal pain
TBL-02-07-018,JlAKpkQ,Symptoms,Nausea and vomiting
TBL-02-07-019,JlAKpkg,Symptoms,Hematemesis
TBL-02-07-020,JlAKpkk,Symptoms,Melena
TBL-02-07-021,JlAKpkY,Symptoms,Constipation
TBL-02-07-022,JlAKpkc,Symptoms,Diarrhea
TBL-02-07-023,JlAKpks,Symptoms,Jaundice
TBL-02-07-024,JlAKpko,Symptoms,Abdominal distention and abdominal mass
TBL-02-07-025,JlAKpkw,Symptoms,Heartburn
TBL-02-07-026,JlAKpk0,Symptoms,Hepatomegaly
TBL-02-07-027,JlAKpk4,Methods of examination,Hepatitis virus screening
TBL-02-07-028,JlAKpk8,Methods of examination,"Tumor markers (AFP, CEA, CA 19-9, PIVKA-II, etc.)"
TBL-02-07-029,JlAKplA,Methods of examination,"Diagnostic imaging (X-ray, ultrasound, CT, MRI)"
TBL-02-07-030,JlAKplE,Methods of examination,Endoscopy
TBL-02-07-031,JlAKplI,Methods of examination,"Biopsy, cytology"
TBL-02-07-032,JlAKplM,Specific therapies,Tube and enteral nutrition
TBL-02-07-033,JlAKplQ,Specific therapies,"Endoscopic treatments (hemostasis, coagulation, clipping, sclerotherapy, etc.)"
TBL-02-07-034,JlAKplU,Specific therapies,"Endovascular procedures (arterial embolization, etc.)"
