index,id,category,item
TBL-02-17-001,JlAKp1U,Symptoms,Fever
TBL-02-17-002,JlAKp1Y,Symptoms,General malaise
TBL-02-17-003,JlAKp1k,Symptoms,Edema
TBL-02-17-004,JlAKp1s,Symptoms,Cough and sputum production
TBL-02-17-005,JlAKp1o,Symptoms,Dyspnea
TBL-02-17-006,JlAKp1c,Symptoms,Rash
TBL-02-17-007,JlAKp1g,Symptoms,Lymphadenopathy
TBL-02-17-008,JlAKp1w,Symptoms,Hematuria
TBL-02-17-009,JlAKp10,Symptoms,Arthralgia and joint swelling
TBL-02-17-010,JnNn_eY,Methods of examination,Autoantibody
TBL-02-17-011,JnNn_ec,Specific therapies,Treatment with immunosuppressive drugs
TBL-02-17-012,JnNn_ek,Specific therapies,Rehabilitation treatment for patients with rheumatic diseases
