index,id,category,item
TBL-07-00-001,JlAKx_k,General procedure,"Position change, transfer"
TBL-07-00-002,Jub5cSY,General procedure,Skin antisepsis
TBL-07-00-003,Jub5cSc,General procedure,Application of topical medications
TBL-07-00-004,JlAKx_s,General procedure,Airway suction
TBL-07-00-005,Jub5dh8,General procedure,Nebulizer
TBL-07-00-006,JlAKx_w,General procedure,Venous blood sampling
TBL-07-00-007,JlAKx_0,General procedure,Peripheral venous catheterization
TBL-07-00-008,JlAKyAA,General procedure,Insertion and extraction of nasogastric tube
TBL-07-00-009,JlAKyAE,General procedure,Insertion and extraction of urinary catheter
TBL-07-00-010,JlAKyAI,General procedure,Intradermal injection
TBL-07-00-011,JlAKyAQ,General procedure,Subcutaneous injection
TBL-07-00-012,JlAKyAU,General procedure,Intramuscular injection
TBL-07-00-013,JlAKyAY,General procedure,Intravenous injection
TBL-07-00-014,Jub5eUA,Examination technique,Urinalysis (including pregnancy test)
TBL-07-00-015,JlAKyAc,Examination technique,Microbiological testing (including gram staining)
TBL-07-00-016,JlAKyAg,Examination technique,Recording of a 12-lead ECG
TBL-07-00-017,JlAKyAk,Examination technique,Rapid bedside ultrasound (including FAST) for clinical decision-making
TBL-07-00-018,JlAKyAs,Examination technique,Rapid antigen/pathogen testing
TBL-07-00-019,JlAKyAw,Examination technique,Blood glucose test
TBL-07-00-020,JlAKyA0,Surgical procedure,Aseptic technique
TBL-07-00-021,JlAKyA4,Surgical procedure,Surgical hand washing
TBL-07-00-022,JlAKyA8,Surgical procedure,Gowning techniques in the operating room
TBL-07-00-023,JlAKyBA,Surgical procedure,Basic sutures and suture removal
